学期	学号	书号	日期
1	497	TS	0915	
1	273	TS	0915	
1	273	TS	0915	
1	273	TS	0915	
1	273	TS	0915	
1	470	TP	0915	
1	470	I	0915	
1	245	G	0915	
1	245	G	0915	
1	446	F	0915	
1	446	I	0915	
1	388	TP	0915	
1	388	TP	0915	
1	446	C	0915	
1	19	TP	0915	
1	19	I	0915	
1	423	O	0915	
1	481	H	0915	
1	481	TP	0915	
1	317	I	0915	
1	317	I	0915	
1	119	TP	0915	
1	119	I	0915	
1	119	I	0915	
1	309	O	0915	
1	309	O	0915	
1	507	O	0915	
1	432	H	0915	
1	432	H	0915	
1	432	H	0915	
1	122	TM	0915	
1	122	TM	0915	
1	309	B	0915	
1	342	B	0915	
1	342	B	0915	
1	466	C	0915	
1	146	C	0915	
1	22	TP	0915	
1	506	F	0915	
1	506	F	0915	
1	125	TP	0915	
1	187	F	0915	
1	172	TP	0915	
1	172	TP	0915	
1	179	C	0915	
1	309	H	0915	
1	309	I	0915	
1	406	O	0915	
1	271	TP	0915	
1	271	K	0915	
1	271	I	0915	
1	208	TN	0916	
1	522	TN	0916	
1	491	TN	0916	
1	491	TN	0916	
1	491	TN	0916	
1	522	TN	0916	
1	483	TN	0916	
1	483	TN	0916	
1	82	TN	0916	
1	82	TN	0916	
1	82	TN	0916	
1	36	I	0916	
1	36	I	0916	
1	522	TN	0916	
1	497	B	0916	
1	432	TM	0916	
1	432	TM	0916	
1	247	O	0916	
1	273	TP	0916	
1	273	I	0916	
1	524	TP	0916	
1	524	TP	0916	
1	524	I	0916	
1	524	I	0916	
1	273	I	0916	
1	261	H	0916	
1	261	H	0916	
1	414	H	0916	
1	97	TQ	0916	
1	97	H	0916	
1	97	C	0916	
1	97	D	0916	
1	168	B	0916	
1	168	B	0916	
1	168	C	0916	
1	168	B	0916	
1	168	B	0916	
1	467	I	0916	
1	467	I	0916	
1	377	TN	0916	
1	377	TN	0916	
1	263	TN	0916	
1	354	TN	0916	
1	354	TN	0916	
1	354	TN	0916	
1	5	TN	0916	
1	5	TN	0916	
1	37	O	0916	
1	290	J	0916	
1	290	I	0916	
1	290	I	0916	
1	354	I	0916	
1	262	TN	0916	
1	457	TN	0916	
1	457	TN	0916	
1	443	R	0916	
1	443	R	0916	
1	443	R	0916	
1	443	R	0916	
1	443	R	0916	
1	443	R	0916	
1	443	R	0916	
1	443	R	0916	
1	457	TN	0916	
1	511	G	0916	
1	511	E	0916	
1	280	E	0916	
1	23	I	0916	
1	245	TP	0916	
1	245	TP	0916	
1	499	G	0916	
1	499	I	0916	
1	244	TP	0916	
1	369	C	0916	
1	369	O	0916	
1	222	H	0916	
1	222	B	0916	
1	222	B	0916	
1	501	P	0916	
1	375	H	0916	
1	375	H	0916	
1	244	TP	0916	
1	32	H	0916	
1	475	H	0916	
1	242	TP	0916	
1	475	H	0916	
1	225	TP	0916	
1	225	TP	0916	
1	225	TP	0916	
1	211	TN	0916	
1	484	TN	0916	
1	532	B	0916	
1	53	TP	0916	
1	172	F	0916	
1	172	C	0916	
1	219	I	0916	
1	422	D	0916	
1	422	D	0916	
1	422	D	0916	
1	422	D	0916	
1	422	D	0916	
1	422	D	0916	
1	422	D	0916	
1	422	D	0916	
1	523	I	0916	
1	523	I	0916	
1	523	I	0916	
1	523	I	0916	
1	523	I	0916	
1	143	TP	0916	
1	143	TN	0916	
1	295	I	0916	
1	295	I	0916	
1	384	H	0916	
1	384	I	0916	
1	331	I	0916	
1	384	H	0916	
1	331	I	0916	
1	344	I	0916	
1	344	I	0916	
1	344	I	0916	
1	40	I	0916	
1	40	H	0916	
1	395	TP	0916	
1	200	B	0916	
1	391	I	0916	
1	147	I	0916	
1	147	B	0916	
1	147	B	0916	
1	147	B	0916	
1	147	I	0916	
1	326	I	0916	
1	326	H	0916	
1	11	I	0916	
1	357	O	0916	
1	357	O	0916	
1	357	O	0916	
1	357	O	0916	
1	346	I	0916	
1	346	I	0916	
1	519	B	0916	
1	139	I	0916	
1	519	H	0916	
1	266	TN	0916	
1	266	TN	0916	
1	76	TN	0916	
1	76	TN	0916	
1	76	TN	0916	
1	76	TN	0916	
1	76	TN	0916	
1	224	I	0916	
1	224	TN	0916	
1	224	TN	0916	
1	224	TN	0916	
1	269	H	0916	
1	269	I	0916	
1	269	H	0916	
1	364	I	0916	
1	364	I	0916	
1	77	H	0916	
1	77	E	0916	
1	165	H	0916	
1	165	F	0916	
1	288	TN	0916	
1	172	I	0916	
1	358	I	0916	
1	380	I	0916	
1	380	I	0916	
1	497	H	0916	
1	497	H	0916	
1	497	C	0916	
1	497	I	0916	
1	222	H	0916	
1	222	G	0916	
1	484	U	0916	
1	484	U	0916	
1	326	TP	0916	
1	222	TP	0916	
1	495	B	0916	
1	494	I	0916	
1	487	H	0916	
1	518	H	0916	
1	426	H	0916	
1	59	TP	0916	
1	59	TP	0916	
1	155	I	0916	
1	155	I	0916	
1	155	I	0916	
1	64	H	0916	
1	512	O	0916	
1	292	H	0916	
1	361	I	0916	
1	90	H	0916	
1	90	H	0916	
1	205	I	0916	
1	503	I	0916	
1	503	I	0916	
1	137	I	0916	
1	137	I	0916	
1	90	I	0916	
1	451	TP	0916	
1	502	TN	0916	
1	145	F	0916	
1	131	K	0916	
1	93	I	0916	
1	93	F	0916	
1	175	I	0916	
1	403	C	0916	
1	357	O	0916	
1	357	O	0916	
1	403	C	0916	
1	422	B	0916	
1	422	B	0916	
1	422	I	0916	
1	422	B	0916	
1	422	B	0916	
1	422	H	0916	
1	422	E	0916	
1	422	E	0916	
1	291	H	0916	
1	249	H	0916	
1	249	H	0916	
1	129	I	0916	
1	291	TN	0916	
1	513	H	0916	
1	28	B	0916	
1	20	H	0916	
1	20	H	0916	
1	495	O	0917	
1	495	O	0917	
1	495	O	0917	
1	462	O	0917	
1	462	O	0917	
1	462	O	0917	
1	462	O	0917	
1	525	TM	0917	
1	525	B	0917	
1	462	TN	0917	
1	462	TN	0917	
1	462	TN	0917	
1	495	TN	0917	
1	495	TN	0917	
1	495	TN	0917	
1	297	B	0917	
1	297	A	0917	
1	297	I	0917	
1	207	TN	0917	
1	207	TN	0917	
1	140	TN	0917	
1	113	TN	0917	
1	113	TN	0917	
1	113	TN	0917	
1	113	TN	0917	
1	423	TN	0917	
1	423	TN	0917	
1	423	TN	0917	
1	326	TN	0917	
1	326	TN	0917	
1	326	TN	0917	
1	113	TN	0917	
1	197	TN	0917	
1	197	TN	0917	
1	197	TN	0917	
1	197	TN	0917	
1	371	TN	0917	
1	197	TN	0917	
1	371	TN	0917	
1	505	TN	0917	
1	505	TN	0917	
1	140	TN	0917	
1	140	TN	0917	
1	140	TN	0917	
1	95	I	0917	
1	207	TN	0917	
1	505	TN	0917	
1	505	TN	0917	
1	357	TN	0917	
1	357	TN	0917	
1	357	TN	0917	
1	357	TN	0917	
1	357	TN	0917	
1	357	TN	0917	
1	58	TN	0917	
1	58	TN	0917	
1	58	TN	0917	
1	58	TN	0917	
1	58	TN	0917	
1	58	TN	0917	
1	68	TN	0917	
1	68	TN	0917	
1	68	TN	0917	
1	68	TP	0917	
1	279	TN	0917	
1	279	TP	0917	
1	239	TN	0917	
1	239	TN	0917	
1	239	TN	0917	
1	239	TN	0917	
1	239	TN	0917	
1	239	TN	0917	
1	239	TN	0917	
1	450	TN	0917	
1	450	TN	0917	
1	450	TN	0917	
1	450	TN	0917	
1	450	TN	0917	
1	450	TN	0917	
1	58	TN	0917	
1	49	TP	0917	
1	101	TN	0917	
1	101	TN	0917	
1	101	TN	0917	
1	49	TN	0917	
1	299	TN	0917	
1	299	TN	0917	
1	299	TN	0917	
1	299	TN	0917	
1	299	TN	0917	
1	299	TN	0917	
1	299	TN	0917	
1	299	TN	0917	
1	299	TN	0917	
1	362	TN	0917	
1	362	TN	0917	
1	362	TN	0917	
1	362	TN	0917	
1	299	TN	0917	
1	272	TN	0917	
1	272	TN	0917	
1	272	TN	0917	
1	272	TN	0917	
1	172	TP	0917	
1	172	TP	0917	
1	455	TN	0917	
1	455	TN	0917	
1	172	TN	0917	
1	172	TN	0917	
1	172	TN	0917	
1	172	TN	0917	
1	359	TN	0917	
1	359	TN	0917	
1	359	TN	0917	
1	240	TN	0917	
1	240	TN	0917	
1	200	TN	0917	
1	200	TN	0917	
1	176	D	0917	
1	16	TM	0917	
1	16	TM	0917	
1	200	TN	0917	
1	200	TN	0917	
1	271	TP	0917	
1	271	TP	0917	
1	398	TN	0917	
1	398	TN	0917	
1	398	TN	0917	
1	62	TN	0917	
1	62	TN	0917	
1	416	K	0917	
1	416	K	0917	
1	199	TN	0917	
1	199	TN	0917	
1	188	TN	0917	
1	188	TN	0917	
1	188	TN	0917	
1	260	TN	0917	
1	260	TN	0917	
1	150	TM	0917	
1	113	TN	0917	
1	113	TN	0917	
1	432	H	0917	
1	432	H	0917	
1	432	H	0917	
1	134	TN	0917	
1	16	TM	0917	
1	16	TM	0917	
1	16	TM	0917	
1	16	TM	0917	
1	210	B	0917	
1	210	G	0917	
1	339	B	0917	
1	216	TN	0917	
1	216	TN	0917	
1	216	TN	0917	
1	216	TN	0917	
1	216	TP	0917	
1	312	TN	0917	
1	312	TN	0917	
1	312	TN	0917	
1	312	TN	0917	
1	185	J	0918	
1	185	J	0918	
1	185	J	0918	
1	533	O	0918	
1	5	TP	0918	
1	533	TM	0918	
1	533	TM	0918	
1	354	TN	0918	
1	354	TN	0918	
1	412	I	0918	
1	412	I	0918	
1	365	I	0918	
1	108	TN	0918	
1	108	TN	0918	
1	108	TN	0918	
1	365	I	0918	
1	26	TN	0918	
1	26	TN	0918	
1	75	TN	0918	
1	75	TN	0918	
1	75	TN	0918	
1	143	O	0918	
1	143	O	0918	
1	143	O	0918	
1	421	TN	0918	
1	421	TN	0918	
1	87	B	0918	
1	171	TN	0918	
1	171	TN	0918	
1	171	TN	0918	
1	434	TN	0918	
1	394	H	0918	
1	306	I	0918	
1	394	H	0918	
1	484	TN	0918	
1	484	TN	0918	
1	484	TN	0918	
1	362	TM	0918	
1	286	O	0918	
1	286	O	0918	
1	320	K	0918	
1	97	TN	0918	
1	97	TP	0918	
1	388	TN	0918	
1	388	TP	0918	
1	25	TN	0918	
1	25	TP	0918	
1	157	I	0918	
1	157	H	0918	
1	482	O	0918	
1	482	O	0918	
1	482	O	0918	
1	316	TP	0918	
1	234	I	0918	
1	119	E	0918	
1	271	C	0918	
1	15	TN	0918	
1	428	TN	0918	
1	260	TM	0918	
1	41	TP	0918	
1	41	O	0918	
1	118	B	0918	
1	118	B	0918	
1	190	TP	0918	
1	53	TN	0918	
1	53	TN	0918	
1	430	H	0918	
1	430	H	0918	
1	7	TN	0918	
1	7	TN	0918	
1	7	TN	0918	
1	189	I	0918	
1	189	I	0918	
1	25	TP	0918	
1	189	I	0918	
1	204	TP	0918	
1	119	TP	0918	
1	119	TP	0918	
1	119	TP	0918	
1	119	TP	0918	
1	61	O	0918	
1	61	TP	0918	
1	130	H	0918	
1	130	H	0918	
1	383	TP	0918	
1	388	TP	0918	
1	388	TP	0918	
1	388	O	0918	
1	388	O	0918	
1	119	O	0918	
1	119	O	0918	
1	119	O	0918	
1	119	TP	0918	
1	119	O	0918	
1	405	TM	0918	
1	405	J	0918	
1	229	TP	0918	
1	274	K	0918	
1	274	TP	0918	
1	167	H	0918	
1	167	I	0918	
1	68	TN	0918	
1	68	TN	0918	
1	68	TN	0918	
1	68	TN	0918	
1	71	TN	0918	
1	71	TN	0918	
1	467	I	0918	
1	467	H	0918	
1	216	TP	0918	
1	216	TP	0918	
1	468	O	0918	
1	467	TP	0918	
1	455	TP	0918	
1	455	TP	0918	
1	455	TP	0918	
1	455	TP	0918	
1	16	H	0918	
1	50	B	0918	
1	50	B	0918	
1	345	I	0918	
1	345	I	0918	
1	357	TN	0918	
1	258	H	0918	
1	139	I	0918	
1	505	O	0918	
1	505	O	0918	
1	505	O	0918	
1	505	O	0918	
1	291	O	0918	
1	364	K	0918	
1	21	O	0918	
1	9	H	0918	
1	9	H	0918	
1	334	TN	0919	
1	245	I	0919	
1	245	K	0919	
1	466	TP	0919	
1	346	TP	0919	
1	466	B	0919	
1	207	TP	0919	
1	316	TP	0919	
1	146	TP	0919	
1	146	TP	0919	
1	146	TP	0919	
1	333	TP	0919	
1	333	TP	0919	
1	146	TP	0919	
1	146	H	0919	
1	146	H	0919	
1	418	H	0919	
1	418	K	0919	
1	297	TP	0919	
1	236	F	0919	
1	240	O	0919	
1	240	O	0919	
1	483	I	0919	
1	483	H	0919	
1	483	I	0919	
1	219	TN	0919	
1	219	TN	0919	
1	219	TN	0919	
1	146	TP	0919	
1	146	TP	0919	
1	146	TP	0919	
1	146	TP	0919	
1	437	TN	0919	
1	437	TN	0919	
1	437	TN	0919	
1	437	TN	0919	
1	13	H	0919	
1	146	H	0919	
1	13	H	0919	
1	146	H	0919	
1	224	TP	0919	
1	413	TN	0919	
1	413	TN	0919	
1	413	TN	0919	
1	355	B	0919	
1	10	TN	0919	
1	10	TN	0919	
1	225	TP	0919	
1	225	TP	0919	
1	225	TN	0919	
1	225	TP	0919	
1	225	TN	0919	
1	67	F	0919	
1	280	I	0919	
1	280	I	0919	
1	536	O	0919	
1	219	I	0919	
1	219	I	0919	
1	1	I	0919	
1	1	I	0919	
1	346	TP	0919	
1	219	H	0919	
1	157	TN	0919	
1	131	I	0919	
1	131	I	0919	
1	131	I	0919	
1	413	I	0919	
1	413	I	0919	
1	213	O	0919	
1	519	TP	0919	
1	145	TM	0919	
1	145	TM	0919	
1	415	O	0919	
1	468	I	0919	
1	468	B	0919	
1	411	C	0919	
1	411	C	0919	
1	411	C	0919	
1	411	C	0919	
1	77	H	0919	
1	385	C	0919	
1	385	C	0919	
1	385	C	0919	
1	498	H	0919	
1	345	K	0919	
1	345	H	0919	
1	311	TP	0919	
1	358	F	0919	
1	106	Z	0919	
1	106	O	0919	
1	341	TP	0919	
1	341	I	0919	
1	341	I	0919	
1	291	R	0919	
1	94	TP	0919	
1	94	TP	0919	
1	94	TP	0919	
1	45	TP	0919	
1	303	TP	0919	
1	492	B	0919	
1	492	B	0919	
1	79	TP	0919	
1	79	TP	0919	
1	20	H	0919	
1	345	TP	0919	
1	345	O	0919	
1	364	O	0919	
1	364	O	0919	
1	364	TP	0919	
1	19	TP	0919	
1	352	I	0919	
1	352	I	0919	
1	352	TP	0919	
1	352	I	0919	
1	506	I	0919	
1	506	I	0919	
1	150	TP	0919	
1	19	B	0919	
1	169	D	0919	
1	8	N	0919	
1	122	TN	0919	
1	122	TN	0919	
1	327	TN	0919	
1	327	TN	0919	
1	28	TN	0919	
1	28	TN	0919	
1	510	TN	0919	
1	510	TN	0919	
1	28	TN	0919	
1	16	I	0919	
1	23	O	0919	
1	23	TP	0919	
1	23	O	0919	
1	23	TP	0919	
1	127	TP	0919	
1	127	B	0919	
1	9	H	0919	
1	355	I	0919	
1	355	I	0919	
1	239	B	0919	
1	332	H	0919	
1	224	TN	0919	
1	341	TN	0919	
1	219	TN	0919	
1	219	TN	0919	
1	341	TN	0919	
1	16	TM	0919	
1	341	TN	0919	
1	364	TN	0919	
1	219	H	0919	
1	134	O	0919	
1	364	I	0919	
1	134	O	0919	
1	134	O	0919	
1	16	TN	0919	
1	98	I	0919	
1	197	I	0919	
1	211	TN	0920	
1	211	TN	0920	
1	357	O	0920	
1	484	G	0920	
1	483	I	0920	
1	483	O	0920	
1	237	TN	0920	
1	237	TN	0920	
1	237	TN	0920	
1	146	O	0920	
1	15	TN	0920	
1	15	TN	0920	
1	15	TN	0920	
1	306	K	0920	
1	117	C	0920	
1	51	TN	0920	
1	488	B	0920	
1	21	TN	0920	
1	21	TN	0920	
1	21	TN	0920	
1	21	TN	0920	
1	21	TN	0920	
1	403	A	0920	
1	21	TN	0920	
1	21	TN	0920	
1	21	TN	0920	
1	389	O	0920	
1	120	TN	0920	
1	213	O	0920	
1	8	O	0920	
1	8	O	0920	
1	8	H	0920	
1	8	H	0920	
1	361	O	0920	
1	361	H	0920	
1	361	O	0920	
1	361	O	0920	
1	122	O	0920	
1	122	O	0920	
1	122	O	0920	
1	122	O	0920	
1	122	O	0920	
1	122	O	0920	
1	344	I	0920	
1	344	I	0920	
1	122	I	0920	
1	32	TP	0920	
1	32	TP	0920	
1	461	I	0920	
1	461	B	0920	
1	495	H	0920	
1	150	H	0920	
1	150	H	0920	
1	497	TP	0920	
1	513	O	0920	
1	65	I	0920	
1	65	I	0920	
1	463	I	0920	
1	463	I	0920	
1	463	I	0920	
1	273	TP	0920	
1	273	TP	0920	
1	273	TP	0920	
1	273	TP	0920	
1	273	TP	0920	
1	273	TP	0920	
1	273	TP	0920	
1	273	TP	0920	
1	273	H	0920	
1	497	I	0920	
1	497	I	0920	
1	497	I	0920	
1	524	O	0920	
1	524	I	0920	
1	524	I	0920	
1	524	I	0920	
1	2	D	0920	
1	2	F	0920	
1	2	F	0920	
1	2	F	0920	
1	2	F	0920	
1	2	F	0920	
1	1	G	0920	
1	1	I	0920	
1	508	TP	0920	
1	380	TN	0920	
1	380	TN	0920	
1	380	TN	0920	
1	380	TN	0920	
1	373	TN	0920	
1	373	TN	0920	
1	373	TN	0920	
1	373	TN	0920	
1	115	TN	0920	
1	115	TN	0920	
1	115	TN	0920	
1	115	TN	0920	
1	115	TN	0920	
1	115	TN	0920	
1	115	TN	0920	
1	15	TN	0920	
1	15	TN	0920	
1	15	TN	0920	
1	428	TN	0920	
1	15	TN	0920	
1	15	TN	0920	
1	461	TP	0920	
1	461	TP	0920	
1	359	TN	0920	
1	19	TN	0920	
1	19	TN	0920	
1	359	TN	0920	
1	19	TN	0920	
1	359	TN	0920	
1	528	TN	0920	
1	528	TN	0920	
1	311	TN	0920	
1	148	TN	0920	
1	148	TN	0920	
1	148	TN	0920	
1	148	TN	0920	
1	291	TN	0920	
1	291	TN	0920	
1	405	TM	0920	
1	405	TM	0920	
1	405	TM	0920	
1	405	TP	0920	
1	405	TP	0920	
1	405	TP	0920	
1	25	TN	0920	
1	247	TN	0920	
1	247	TN	0920	
1	225	TN	0920	
1	225	TN	0920	
1	225	TN	0920	
1	409	I	0920	
1	409	I	0920	
1	132	O	0920	
1	132	O	0920	
1	132	O	0920	
1	470	TN	0920	
1	97	TN	0920	
1	536	TN	0920	
1	536	TN	0920	
1	536	TN	0920	
1	493	TP	0920	
1	53	TN	0920	
1	111	I	0920	
1	168	I	0920	
1	102	I	0920	
1	96	TP	0920	
1	96	TP	0920	
1	290	TN	0920	
1	290	TN	0920	
1	290	TN	0920	
1	290	TN	0920	
1	156	TN	0920	
1	362	TP	0920	
1	362	TP	0920	
1	156	TN	0920	
1	156	TN	0920	
1	88	F	0920	
1	88	C	0920	
1	88	F	0920	
1	88	F	0920	
1	88	F	0920	
1	392	TN	0920	
1	121	O	0920	
1	121	O	0920	
1	121	O	0920	
1	487	TN	0920	
1	150	TN	0920	
1	150	TN	0920	
1	150	TN	0920	
1	487	TN	0920	
1	406	K	0920	
1	411	F	0920	
1	411	H	0920	
1	536	B	0920	
1	20	TP	0920	
1	20	TP	0920	
1	200	TN	0920	
1	513	TP	0920	
1	513	TP	0920	
1	131	I	0921	
1	116	TN	0921	
1	289	TN	0921	
1	289	TN	0921	
1	289	TN	0921	
1	478	TN	0921	
1	478	TN	0921	
1	478	TN	0921	
1	8	G	0921	
1	1	B	0921	
1	388	TM	0921	
1	255	TN	0921	
1	240	TN	0921	
1	240	TN	0921	
1	240	O	0921	
1	213	TN	0921	
1	213	O	0921	
1	416	TP	0921	
1	28	TN	0921	
1	163	TN	0921	
1	163	TN	0921	
1	425	I	0921	
1	425	I	0921	
1	425	I	0921	
1	425	I	0921	
1	262	O	0921	
1	307	TN	0921	
1	307	TN	0921	
1	313	I	0921	
1	313	I	0921	
1	313	I	0921	
1	313	I	0921	
1	328	B	0921	
1	328	B	0921	
1	328	B	0921	
1	446	TP	0921	
1	446	TP	0921	
1	446	TP	0921	
1	512	TN	0921	
1	277	TP	0921	
1	21	TN	0921	
1	21	TN	0921	
1	21	TN	0921	
1	9	TM	0921	
1	9	TM	0921	
1	472	I	0921	
1	472	I	0921	
1	95	K	0921	
1	76	TN	0921	
1	76	TN	0921	
1	95	K	0921	
1	433	I	0921	
1	433	TN	0921	
1	433	TN	0921	
1	433	TN	0921	
1	95	TN	0921	
1	95	I	0921	
1	95	I	0921	
1	45	O	0921	
1	15	TM	0921	
1	15	TP	0921	
1	15	TM	0921	
1	71	TN	0921	
1	71	TN	0921	
1	71	TN	0921	
1	71	TN	0921	
1	37	I	0921	
1	37	TP	0921	
1	530	I	0921	
1	530	H	0921	
1	455	I	0921	
1	467	TP	0921	
1	494	TP	0921	
1	494	TP	0921	
1	494	TP	0921	
1	494	TP	0921	
1	494	TP	0921	
1	200	TN	0921	
1	530	O	0921	
1	24	TP	0921	
1	118	H	0921	
1	118	H	0921	
1	187	TN	0921	
1	372	TN	0921	
1	372	TN	0921	
1	372	TN	0921	
1	97	Z	0921	
1	505	H	0921	
1	505	H	0921	
1	505	H	0921	
1	505	H	0921	
1	207	TP	0921	
1	467	O	0921	
1	506	J	0921	
1	506	J	0921	
1	506	J	0921	
1	206	TP	0921	
1	206	TP	0921	
1	206	I	0921	
1	245	I	0921	
1	145	TN	0921	
1	145	H	0921	
1	339	I	0921	
1	212	O	0921	
1	357	O	0921	
1	101	H	0921	
1	98	I	0921	
1	242	I	0921	
1	242	H	0921	
1	300	H	0921	
1	21	O	0921	
1	300	H	0921	
1	300	H	0921	
1	300	H	0921	
1	106	B	0921	
1	55	TP	0921	
1	71	TP	0921	
1	71	TP	0921	
1	71	TP	0921	
1	521	TN	0921	
1	521	TN	0921	
1	473	TM	0921	
1	473	TM	0921	
1	473	TM	0921	
1	105	I	0921	
1	105	I	0921	
1	492	K	0921	
1	159	TN	0921	
