学期	学号	地点	日期	时间	金额
1	7	宿舍	0102	102117	0.02
1	51	食堂	0102	072513	1.6
1	76	食堂	0102	072857	1
1	10	食堂	0102	082735	0.5
1	51	食堂	0102	072527	0.7
1	76	食堂	0102	072619	1.4
1	63	食堂	0102	102643	4.5
1	20	宿舍	0102	102813	1.6
1	9	宿舍	0102	103002	0.01
1	10	食堂	0102	082718	1.8
1	51	食堂	0102	172619	4.2
1	20	食堂	0102	173516	0.3
1	2	宿舍	0102	123006	1.5
1	63	食堂	0102	175942	8.6
1	51	超市	0102	174212	6
1	7	食堂	0102	172537	5
1	55	食堂	0102	172711	3.7
1	55	食堂	0102	170138	5
1	20	食堂	0102	172758	1
1	39	宿舍	0102	121913	0.01
1	54	宿舍	0102	141617	0.08
1	7	图书馆	0102	152709	8.4
1	84	宿舍	0102	144604	0.16
1	39	宿舍	0102	144920	0.01
1	22	食堂	0102	175044	8.6
1	20	食堂	0102	172708	4.1
1	11	食堂	0102	172713	1.2
1	76	食堂	0102	171816	10
1	63	食堂	0102	163227	6.1
1	39	食堂	0102	165400	5
1	10	食堂	0102	172832	4.6
1	41	宿舍	0102	153538	0.09
1	10	食堂	0102	173526	0.65
1	13	交通	0102	160630	4
1	7	宿舍	0102	234839	0.05
1	84	宿舍	0102	223513	0.17
1	39	宿舍	0102	213925	0.08
1	39	宿舍	0102	204658	0.04
1	10	宿舍	0102	185841	0.9
1	19	食堂	0102	200302	6.5
1	22	宿舍	0102	195538	1.5
1	48	宿舍	0102	221029	0.08
1	13	宿舍	0102	222243	0.5
1	76	宿舍	0102	203759	1.9
1	7	宿舍	0102	223000	1.3
1	39	宿舍	0102	203346	2
1	20	宿舍	0102	225337	0.07
1	39	宿舍	0102	223706	0.01
1	9	宿舍	0102	181619	2.2
1	51	宿舍	0102	183609	0.15
1	13	宿舍	0102	234624	0.04
1	13	食堂	0102	203711	5.5
1	86	宿舍	0102	191108	1.2
1	39	宿舍	0102	205841	0.09
1	51	宿舍	0102	180046	0.39
1	13	超市	0102	205900	2.5
1	76	宿舍	0102	200314	0.17
1	64	宿舍	0103	105122	0.16
1	7	宿舍	0103	074658	0.05
1	7	食堂	0103	111954	5
1	86	宿舍	0103	014852	0.1
1	55	宿舍	0103	114835	0.15
1	13	食堂	0103	113325	4.7
1	7	宿舍	0103	081838	0.02
1	22	宿舍	0103	085155	1.4
1	20	食堂	0103	111640	0.6
1	54	宿舍	0103	104450	0.08
1	55	食堂	0103	110747	5
1	10	图书馆	0103	095409	10
1	10	食堂	0103	084201	1.4
1	13	食堂	0103	084129	2
1	13	食堂	0103	084136	0.7
1	7	图书馆	0103	093151	8.9
1	51	食堂	0103	072157	0.7
1	81	宿舍	0103	110655	0.15
1	13	超市	0103	101806	0.5
1	63	食堂	0103	112132	6.6
1	51	食堂	0103	113340	4.7
1	20	图书馆	0103	113430	10
1	10	食堂	0103	084430	0.2
1	10	食堂	0103	115344	4.6
1	20	食堂	0103	112351	0.35
1	11	食堂	0103	114008	3.6
1	64	超市	0103	114536	21.8
1	64	食堂	0103	112921	8.1
1	39	宿舍	0103	091956	0.03
1	39	宿舍	0103	101544	0.01
1	51	食堂	0103	072136	1.6
1	10	食堂	0103	084250	0.5
1	54	食堂	0103	114438	3.77
1	54	食堂	0103	113227	5.4
1	39	交通	0103	102738	4
1	86	超市	0103	121611	4
1	84	宿舍	0103	133658	0.15
1	19	食堂	0103	120658	1.8
1	86	宿舍	0103	154321	0.16
1	7	超市	0103	120916	2.2
1	9	食堂	0103	171752	4.5
1	63	食堂	0103	170804	4.6
1	67	食堂	0103	132114	6
1	84	宿舍	0103	150419	0.15
1	63	超市	0103	172821	4.4
1	67	食堂	0103	171855	4.6
1	7	食堂	0103	173639	3.8
1	20	食堂	0103	170142	4.6
1	15	食堂	0103	172200	2.5
1	19	食堂	0103	120720	4.7
1	16	食堂	0103	171126	4.2
1	90	食堂	0103	171038	1.23
1	43	宿舍	0103	171413	0.02
1	41	超市	0103	155303	10.4
1	51	食堂	0103	172716	4.2
1	13	食堂	0103	172659	4.2
1	15	食堂	0103	160833	2.8
1	2	宿舍	0103	172823	0.08
1	15	宿舍	0103	161918	0.16
1	2	宿舍	0103	172914	1.2
1	61	交通	0103	142001	4
1	36	交通	0103	163045	4
1	43	交通	0103	153716	4
1	90	交通	0103	162100	4
1	9	教室	0103	180339	0.01
1	55	食堂	0103	183923	4.1
1	43	超市	0103	184529	12.1
1	83	宿舍	0103	201723	0.9
1	11	超市	0103	181220	7.3
1	55	超市	0103	175715	17.4
1	7	宿舍	0103	223449	1.3
1	9	教室	0103	191816	0.01
1	43	宿舍	0103	193217	0.04
1	48	宿舍	0103	221158	0.07
1	4	宿舍	0103	195757	0.08
1	22	食堂	0103	175242	9.1
1	2	宿舍	0103	175004	1.2
1	43	宿舍	0103	202352	0.04
1	7	图书馆	0103	203659	2
1	7	图书馆	0103	203737	2.2
1	39	宿舍	0103	205116	0.02
1	39	宿舍	0103	205142	0.01
1	22	食堂	0103	174016	6.8
1	86	宿舍	0103	191031	1.6
1	43	宿舍	0103	192956	0.14
1	90	宿舍	0103	194748	0.1
1	32	超市	0103	211228	20.2
1	86	宿舍	0103	195657	0.05
1	71	宿舍	0103	225939	0.16
1	86	宿舍	0103	213323	0.21
1	48	宿舍	0103	222424	1.2
1	63	宿舍	0103	214304	0.12
1	45	宿舍	0103	175854	1.9
1	55	食堂	0103	180720	5.7
1	55	食堂	0103	180735	4.9
1	43	宿舍	0103	202210	0.02
1	51	宿舍	0103	210057	0.15
1	4	宿舍	0103	212117	0.16
1	54	宿舍	0103	181124	0.08
1	67	超市	0103	183622	12
1	2	食堂	0103	184723	7.5
1	48	食堂	0103	195051	4.5
1	90	宿舍	0103	190949	0.11
1	16	宿舍	0103	192540	0.7
1	77	宿舍	0103	210523	0.14
1	22	宿舍	0103	200917	0.07
1	2	宿舍	0103	174714	1.2
1	84	宿舍	0103	195925	0.13
1	23	宿舍	0103	224356	0.7
1	43	宿舍	0103	223912	2
1	39	宿舍	0103	230737	0.04
1	43	宿舍	0103	214604	0.02
1	9	宿舍	0103	214849	0.08
1	69	宿舍	0103	220413	0.09
1	23	宿舍	0103	222800	0.1
1	13	宿舍	0103	174113	0.15
1	62	宿舍	0103	203340	0.26
1	2	宿舍	0103	175044	1.2
1	43	宿舍	0103	205134	0.18
1	33	宿舍	0103	205315	0.2
1	43	宿舍	0103	182616	0.02
1	45	宿舍	0103	182912	0.16
1	62	宿舍	0103	201850	0.03
1	61	宿舍	0103	202630	0.16
1	20	宿舍	0103	191226	0.07
1	7	食堂	0103	175558	2
1	62	宿舍	0103	203625	0.04
1	83	宿舍	0103	203743	0.08
1	42	宿舍	0103	221548	0.15
1	67	宿舍	0103	221732	0.17
1	48	宿舍	0103	222051	0.15
1	48	宿舍	0103	222705	0.07
1	39	宿舍	0103	230310	0.01
1	43	宿舍	0104	075521	0.02
1	2	食堂	0104	080929	1.8
1	41	教室	0104	072932	0.02
1	51	食堂	0104	070559	0.7
1	41	食堂	0104	071910	1.1
1	26	宿舍	0104	075145	0.9
1	39	宿舍	0104	074309	0.04
1	16	食堂	0104	075505	0.83
1	13	食堂	0104	075609	2.5
1	2	食堂	0104	081144	0.5
1	51	食堂	0104	070538	1.6
1	13	食堂	0104	075058	1.7
1	16	宿舍	0104	072135	0.14
1	43	食堂	0104	081216	1.83
1	16	食堂	0104	075615	2.5
1	51	教室	0104	071953	0.01
1	7	宿舍	0104	072805	0.05
1	43	食堂	0104	081440	2.5
1	63	食堂	0104	081521	2.4
1	39	宿舍	0104	075939	0.01
1	54	食堂	0104	080949	2.6
1	83	食堂	0104	083830	0.6
1	23	宿舍	0104	083826	0.18
1	84	宿舍	0104	084210	0.15
1	4	食堂	0104	082235	4.4
1	48	食堂	0104	084716	2
1	55	食堂	0104	110857	5.4
1	41	教室	0104	091241	0.01
1	22	食堂	0104	100250	4.5
1	69	食堂	0104	104321	6.5
1	43	宿舍	0104	104158	0.04
1	43	教室	0104	091558	0.01
1	81	宿舍	0104	095031	0.01
1	41	教室	0104	084737	0.02
1	71	食堂	0104	091059	1.5
1	7	宿舍	0104	081313	0.02
1	20	食堂	0104	085157	1.8
1	26	超市	0104	104921	12.9
1	84	食堂	0104	082223	4.5
1	54	教室	0104	091347	0.01
1	83	食堂	0104	083729	2.83
1	42	食堂	0104	083518	2.8
1	33	食堂	0104	081320	3.2
1	2	教室	0104	083313	0.01
1	83	食堂	0104	084039	0.4
1	69	食堂	0104	105422	4.74
1	4	食堂	0104	082232	5.3
1	69	食堂	0104	103733	2
1	2	食堂	0104	105219	10
1	2	教室	0104	093529	0.01
1	64	宿舍	0104	095837	0.2
1	32	食堂	0104	083754	1.8
1	69	宿舍	0104	100357	0.05
1	61	超市	0104	110804	1.5
1	20	食堂	0104	085229	0.7
1	42	食堂	0104	083525	2
1	7	食堂	0104	111744	7
1	86	食堂	0104	111808	7
1	9	宿舍	0104	133654	0.02
1	41	教室	0104	141128	0.01
1	86	食堂	0104	112555	3.5
1	84	食堂	0104	113934	3.2
1	43	宿舍	0104	141341	0.03
1	23	宿舍	0104	143753	0.02
1	61	食堂	0104	115128	6
1	62	宿舍	0104	120647	0.08
1	32	食堂	0104	115947	8
1	64	食堂	0104	112654	5
1	64	食堂	0104	112841	1.8
1	83	食堂	0104	112955	5
1	16	食堂	0104	113635	4.9
1	71	食堂	0104	141353	6.4
1	4	食堂	0104	113922	3.2
1	48	宿舍	0104	125147	0.16
1	41	教室	0104	125233	0.01
1	67	食堂	0104	115735	5.4
1	39	食堂	0104	145144	6.5
1	23	食堂	0104	145154	6.5
1	84	食堂	0104	114042	2
1	81	宿舍	0104	150023	0.16
1	13	食堂	0104	113336	4.7
1	51	食堂	0104	113352	4.7
1	9	食堂	0104	113433	4.7
1	20	食堂	0104	113407	5.1
1	10	食堂	0104	113432	4.6
1	26	食堂	0104	123823	15
1	39	宿舍	0104	143621	0.01
1	42	食堂	0104	120507	4
1	43	宿舍	0104	123131	0.02
1	81	食堂	0104	120554	5.5
1	64	食堂	0104	112816	1.5
1	83	食堂	0104	112958	0.6
1	36	食堂	0104	113321	4.9
1	22	食堂	0104	115944	8.3
1	22	食堂	0104	120132	8.8
1	63	食堂	0104	113256	8.6
1	43	食堂	0104	112915	7.7
1	10	食堂	0104	113419	1
1	20	食堂	0104	113411	1
1	54	食堂	0104	113150	7.5
1	81	食堂	0104	114128	10
1	41	食堂	0104	122413	2.2
1	90	食堂	0104	142345	3.8
1	67	宿舍	0104	121858	0.15
1	54	教室	0104	142300	0.01
1	4	食堂	0104	114033	2
1	33	宿舍	0104	123517	0.04
1	77	宿舍	0104	123717	0.07
1	67	宿舍	0104	122804	0.13
1	69	食堂	0104	165118	1
1	13	食堂	0104	165725	4.7
1	16	食堂	0104	160927	4.5
1	15	食堂	0104	170704	3.1
1	86	食堂	0104	172208	8
1	54	超市	0104	173136	8.1
1	7	食堂	0104	172216	8
1	9	食堂	0104	180815	4.2
1	43	食堂	0104	173034	2.2
1	86	宿舍	0104	180649	0.8
1	10	食堂	0104	172422	4.6
1	62	食堂	0104	171123	5
1	86	图书馆	0104	150906	7.1
1	63	食堂	0104	164822	8
1	64	宿舍	0104	174801	0.04
1	67	食堂	0104	175513	1.8
1	60	宿舍	0104	174033	1.2
1	39	图书馆	0104	162517	1
1	69	食堂	0104	165048	7
1	83	食堂	0104	172046	4.6
1	45	宿舍	0104	171546	0.16
1	64	食堂	0104	173021	6.6
1	84	食堂	0104	172600	7
1	84	食堂	0104	172631	7
1	4	食堂	0104	172702	7
1	67	食堂	0104	180102	2
1	43	教室	0104	161610	0.01
1	83	超市	0104	172734	7.6
1	63	超市	0104	173142	10.3
1	64	超市	0104	173902	4
1	45	食堂	0104	160711	5.5
1	45	食堂	0104	160715	2
1	36	食堂	0104	160922	4.5
1	69	食堂	0104	162025	2
1	7	图书馆	0104	150852	5
1	62	食堂	0104	171111	3
1	69	食堂	0104	170731	2
1	32	食堂	0104	172310	7.6
1	86	宿舍	0104	175251	1.4
1	33	食堂	0104	172906	8
1	20	食堂	0104	172408	5.1
1	26	超市	0104	180100	9.2
1	60	宿舍	0104	175238	3
1	26	食堂	0104	172811	8
1	67	食堂	0104	173638	4.4
1	10	食堂	0104	172538	0.35
1	2	食堂	0104	172010	6
1	48	交通	0104	163912	1
1	22	交通	0104	190105	1
1	71	宿舍	0104	212901	0.1
1	54	教室	0104	192237	0.01
1	33	宿舍	0104	220424	1.2
1	60	宿舍	0104	210349	1.2
1	23	宿舍	0104	214014	0.16
1	64	宿舍	0104	195129	0.04
1	32	宿舍	0104	212650	1.4
1	15	宿舍	0104	214608	0.16
1	23	宿舍	0104	225437	0.29
1	61	宿舍	0104	215336	2.5
1	2	宿舍	0104	215433	0.07
1	42	宿舍	0104	234208	0.03
1	90	宿舍	0104	182248	0.19
1	39	宿舍	0104	215939	0.03
1	39	宿舍	0104	205024	0.2
1	13	宿舍	0104	205818	0.4
1	61	宿舍	0104	220622	0.16
1	63	宿舍	0104	202404	0.13
1	9	宿舍	0104	230104	0.08
1	16	宿舍	0104	190401	1
1	48	食堂	0104	205331	3.2
1	51	宿舍	0104	214353	0.23
1	4	宿舍	0104	193645	0.08
1	36	宿舍	0104	182518	0.8
1	55	宿舍	0104	195816	0.07
1	60	宿舍	0104	200452	0.13
1	54	教室	0104	212048	0.02
1	54	宿舍	0104	220344	0.08
1	60	宿舍	0104	184308	3
1	43	宿舍	0104	212618	0.01
1	42	宿舍	0104	222021	2.5
1	54	教室	0104	184511	0.01
1	71	宿舍	0104	212733	0.02
1	71	宿舍	0104	190502	0.02
1	48	宿舍	0104	223231	0.07
1	43	宿舍	0104	212504	0.05
1	7	宿舍	0104	232317	0.05
1	9	超市	0104	215558	18.2
1	39	宿舍	0104	221044	0.03
1	43	宿舍	0104	212027	0.19
1	86	宿舍	0104	212410	0.21
1	39	宿舍	0104	212439	1.3
1	10	宿舍	0104	214441	0.5
1	7	宿舍	0104	224025	0.1
1	67	宿舍	0104	225239	0.9
1	69	宿舍	0104	205930	0.1
1	7	宿舍	0104	220007	1.4
1	60	宿舍	0104	203445	0.01
1	60	宿舍	0104	203447	0.15
1	43	宿舍	0104	203707	0.02
1	20	宿舍	0104	222224	0.06
1	32	超市	0104	205111	10.6
1	48	食堂	0104	205326	6.4
1	23	宿舍	0104	222541	1.2
1	9	宿舍	0104	223719	1.1
1	22	宿舍	0104	205638	0.01
1	43	宿舍	0105	075655	0.02
1	43	教室	0105	083519	0.01
1	62	宿舍	0105	095111	0.03
1	36	食堂	0105	100020	2
1	10	食堂	0105	082813	1.6
1	76	宿舍	0105	100312	0.01
1	26	宿舍	0105	095931	0.4
1	10	食堂	0105	082956	0.5
1	49	食堂	0105	101400	4.5
1	13	食堂	0105	083225	2.5
1	15	食堂	0105	094449	5.5
1	16	宿舍	0105	081041	0.07
1	76	宿舍	0105	093710	0.02
1	2	食堂	0105	101026	1.8
1	90	食堂	0105	101355	3
1	51	食堂	0105	071643	0.7
1	41	食堂	0105	072637	1.8
1	43	宿舍	0105	073650	0.01
1	43	食堂	0105	081224	0.5
1	64	教室	0105	081242	0.02
1	43	教室	0105	093504	0.01
1	84	宿舍	0105	094532	0.08
1	39	宿舍	0105	095155	0.03
1	54	食堂	0105	095821	1.8
1	16	食堂	0105	100033	1.8
1	39	宿舍	0105	100550	0.02
1	51	食堂	0105	071622	0.6
1	71	宿舍	0105	084357	1.9
1	4	宿舍	0105	092835	0.08
1	23	宿舍	0105	092146	0.16
1	2	教室	0105	101449	0.01
1	41	食堂	0105	072609	0.5
1	19	食堂	0105	084338	3.13
1	61	食堂	0105	074557	1
1	7	宿舍	0105	084210	0.06
1	36	宿舍	0105	080425	0.06
1	71	宿舍	0105	093528	0.02
1	86	宿舍	0105	093647	0.06
1	84	宿舍	0105	094144	1.3
1	76	宿舍	0105	095748	0.32
1	49	食堂	0105	101339	1.8
1	71	宿舍	0105	151156	0.02
1	36	超市	0105	154914	30
1	10	食堂	0105	115016	1
1	7	宿舍	0105	131532	0.04
1	76	超市	0105	151608	3
1	7	食堂	0105	120901	2.5
1	19	食堂	0105	114316	4.6
1	67	宿舍	0105	122943	0.11
1	61	食堂	0105	153506	4
1	67	宿舍	0105	161154	0.23
1	83	食堂	0105	114620	6.6
1	15	食堂	0105	114337	5
1	54	食堂	0105	115301	8.1
1	48	宿舍	0105	121639	0.08
1	60	食堂	0105	115745	8.4
1	23	宿舍	0105	141529	0.02
1	7	食堂	0105	114829	5.4
1	83	宿舍	0105	124615	0.7
1	43	宿舍	0105	131821	0.02
1	11	超市	0105	121206	14
1	54	教室	0105	160833	0.01
1	43	宿舍	0105	132657	0.12
1	43	宿舍	0105	132927	0.04
1	20	食堂	0105	115009	2
1	63	食堂	0105	115214	4.6
1	86	食堂	0105	114813	5.4
1	86	食堂	0105	120849	2.5
1	9	食堂	0105	115643	4.2
1	51	食堂	0105	114944	4.7
1	20	食堂	0105	115043	5.1
1	16	宿舍	0105	140455	0.13
1	19	食堂	0105	114328	4.6
1	43	宿舍	0105	130802	0.02
1	86	超市	0105	121609	2.5
1	7	超市	0105	121615	4
1	33	图书馆	0105	135024	2.7
1	67	食堂	0105	115507	4.4
1	4	食堂	0105	115315	7
1	2	食堂	0105	115056	8.4
1	15	图书馆	0105	153557	2.8
1	2	教室	0105	153451	0.01
1	36	超市	0105	154918	9
1	10	文印	0105	160303	1.2
1	43	宿舍	0105	153840	0.02
1	36	食堂	0105	115151	4.9
1	62	食堂	0105	115422	12
1	64	食堂	0105	115524	8.1
1	49	食堂	0105	115138	8
1	49	食堂	0105	115216	8
1	62	食堂	0105	121419	2.5
1	39	宿舍	0105	141524	0.01
1	55	食堂	0105	124728	4.5
1	90	食堂	0105	115246	1.23
1	45	食堂	0105	115254	0.83
1	32	食堂	0105	115352	16
1	2	教室	0105	113805	0.01
1	71	食堂	0105	115328	4.2
1	86	宿舍	0105	131301	0.21
1	13	食堂	0105	114929	4.7
1	43	食堂	0105	115448	5.2
1	16	食堂	0105	115214	4.9
1	61	食堂	0105	114953	8.4
1	63	宿舍	0105	132358	0.11
1	10	食堂	0105	114901	5.1
1	60	食堂	0105	122522	5
1	11	食堂	0105	114945	3.6
1	43	宿舍	0105	123726	0.02
1	23	文印	0105	153916	1.2
1	10	文印	0105	154526	1.5
1	16	超市	0105	154856	11.9
1	64	超市	0105	172207	11.6
1	7	食堂	0105	172416	4.2
1	67	宿舍	0105	172022	1.2
1	9	食堂	0105	170854	5
1	83	食堂	0105	172641	0.5
1	19	食堂	0105	171810	0.8
1	67	宿舍	0105	172344	0.15
1	64	食堂	0105	173016	5.6
1	67	宿舍	0105	163030	1.2
1	36	超市	0105	163444	4.8
1	23	食堂	0105	172123	1.5
1	64	食堂	0105	173100	4
1	7	食堂	0105	174057	2.5
1	15	食堂	0105	174039	5
1	54	教室	0105	181140	0.01
1	62	食堂	0105	175005	1.5
1	61	图书馆	0105	180337	5.9
1	19	食堂	0105	170627	3.6
1	43	宿舍	0105	162422	0.02
1	67	宿舍	0105	171220	1.2
1	10	食堂	0105	172819	0.6
1	67	宿舍	0105	171638	1.2
1	23	食堂	0105	172030	0.5
1	83	食堂	0105	172702	2.15
1	39	食堂	0105	172332	1
1	10	食堂	0105	173524	0.35
1	20	食堂	0105	172742	0.6
1	45	食堂	0105	170005	5.4
1	41	食堂	0105	170445	1.2
1	67	宿舍	0105	170248	1.2
1	9	宿舍	0105	180317	1
1	2	食堂	0105	182327	7
1	67	宿舍	0105	164430	1.2
1	36	宿舍	0105	173053	1.6
1	54	超市	0105	175931	8.1
1	67	宿舍	0105	170259	0.33
1	55	食堂	0105	164132	12
1	20	食堂	0105	172810	0.35
1	10	宿舍	0105	175712	1
1	90	食堂	0105	171101	6.1
1	51	食堂	0105	170456	4.2
1	60	图书馆	0105	180803	22.9
1	55	食堂	0105	164138	0.4
1	84	食堂	0105	173548	4.2
1	67	宿舍	0105	171615	0.36
1	7	食堂	0105	172508	1.5
1	15	食堂	0105	174048	1.7
1	20	食堂	0105	172820	1
1	20	宿舍	0105	175417	0.08
1	15	超市	0105	182113	3.8
1	9	宿舍	0105	182234	0.05
1	49	食堂	0105	175819	4
1	39	食堂	0105	172047	0.5
1	67	宿舍	0105	162238	1.2
1	67	宿舍	0105	163527	1.2
1	13	食堂	0105	170444	4.7
1	9	食堂	0105	170452	4.2
1	19	食堂	0105	170509	4.6
1	36	食堂	0105	165001	2.5
1	54	教室	0105	173827	0.01
1	39	食堂	0105	172153	1.6
1	43	食堂	0105	172307	2
1	49	食堂	0105	173557	10.4
1	84	食堂	0105	175744	4.5
1	32	食堂	0105	181510	6.5
1	54	教室	0105	194812	0.01
1	86	宿舍	0105	223431	0.01
1	84	超市	0105	223745	9.1
1	33	超市	0105	200755	11.3
1	7	宿舍	0105	222955	1.2
1	69	食堂	0105	185054	1.8
1	77	超市	0105	213252	4.5
1	2	教室	0105	203723	0.01
1	43	宿舍	0105	213704	0.17
1	9	宿舍	0105	222523	0.16
1	9	宿舍	0105	225844	0.15
1	48	宿舍	0105	220908	0.08
1	76	宿舍	0105	222322	0.18
1	48	宿舍	0105	224913	0.09
1	49	超市	0105	223617	14
1	16	宿舍	0105	195758	1.6
1	90	宿舍	0105	201925	0.14
1	10	图书馆	0105	202503	10
1	69	宿舍	0105	195719	3.2
1	32	超市	0105	213457	24.7
1	39	宿舍	0105	221444	0.03
1	62	宿舍	0105	235812	0.16
1	86	宿舍	0105	190508	1.2
1	71	宿舍	0105	221538	0.17
1	33	宿舍	0105	214141	1.2
1	83	宿舍	0105	213852	0.07
1	39	宿舍	0105	194510	0.04
1	69	宿舍	0105	215004	0.03
1	20	图书馆	0105	200156	10
1	43	宿舍	0105	213526	0.05
1	55	宿舍	0105	210756	0.06
1	51	宿舍	0105	214653	0.11
1	7	宿舍	0105	224508	0.1
1	69	食堂	0105	183406	10
1	49	宿舍	0105	224700	0.11
1	54	宿舍	0105	225536	0.17
1	63	宿舍	0105	212832	0.14
1	23	宿舍	0105	221253	1.1
1	13	宿舍	0105	214036	0.08
1	69	食堂	0105	183417	1.5
1	60	宿舍	0105	224505	2.4
1	48	宿舍	0105	224749	0.04
1	15	宿舍	0105	220112	0.16
1	13	宿舍	0105	233521	0.12
1	61	宿舍	0105	213802	0.13
1	42	宿舍	0105	230112	2.2
1	43	宿舍	0105	205557	0.02
1	7	宿舍	0105	230443	0.06
1	7	超市	0105	214824	7.8
1	86	宿舍	0105	223700	0.1
1	54	超市	0105	220734	4
1	41	食堂	0106	070613	0.5
1	51	食堂	0106	072159	0.6
1	51	食堂	0106	072134	0.7
1	36	宿舍	0106	075954	0.06
1	61	食堂	0106	075036	2.6
1	61	食堂	0106	075431	0.2
1	61	食堂	0106	075415	2
1	41	食堂	0106	070340	1.4
1	16	宿舍	0106	081210	0.08
1	43	宿舍	0106	083242	0.03
1	62	宿舍	0106	084944	0.11
1	19	食堂	0106	085604	2.4
1	11	食堂	0106	081336	4
1	20	食堂	0106	085554	1.8
1	20	食堂	0106	085712	0.7
1	7	教室	0106	111556	0.01
1	2	教室	0106	111532	0.01
1	77	教室	0106	111851	0.01
1	13	食堂	0106	090710	4
1	26	宿舍	0106	094355	0.8
1	39	宿舍	0106	100223	0.03
1	39	宿舍	0106	100347	0.02
1	39	食堂	0106	101202	8.3
1	90	食堂	0106	101413	1.8
1	77	宿舍	0106	093439	0.14
1	33	食堂	0106	093458	4.8
1	15	食堂	0106	085859	1.6
1	49	宿舍	0106	093305	0.1
1	4	宿舍	0106	094221	0.08
1	13	教室	0106	091038	0.01
1	7	宿舍	0106	090650	0.04
1	4	食堂	0106	101217	2.2
1	43	宿舍	0106	100551	0.02
1	39	宿舍	0106	095543	0.04
1	23	食堂	0106	101103	2.5
1	49	食堂	0106	101138	4.5
1	23	食堂	0106	101157	2.5
1	77	超市	0106	100550	7
1	4	食堂	0106	101225	4
1	20	教室	0106	101321	0.01
1	83	超市	0106	102054	4.5
1	9	教室	0106	094903	0.01
1	32	宿舍	0106	095941	0.07
1	7	宿舍	0106	100102	0.02
1	67	食堂	0106	120141	1.8
1	71	食堂	0106	120300	2.5
1	90	食堂	0106	114210	2.5
1	71	宿舍	0106	120319	0.02
1	9	食堂	0106	121249	4.7
1	19	食堂	0106	121024	3.6
1	2	食堂	0106	114532	10.4
1	62	食堂	0106	115006	3
1	49	食堂	0106	115009	5.2
1	63	食堂	0106	115036	7.6
1	69	食堂	0106	114749	10
1	2	食堂	0106	114543	8.4
1	54	食堂	0106	114559	9.1
1	48	食堂	0106	115105	4.4
1	26	食堂	0106	114513	5.5
