学期	学号	日期	时间
1	18	1130	211302
1	74	1201	113030
1	30	1201	160127
1	38	1201	165228
1	74	1201	175938
1	18	1202	112139
1	74	1202	112512
1	40	1202	194053
1	40	1204	082515
1	44	1204	130527
1	18	1204	133546
1	38	1204	180828
1	74	1205	090106
1	18	1205	143529
1	74	1205	154237
1	74	1206	085835
1	38	1206	125417
1	14	1206	144338
1	38	1206	153434
1	14	1207	090106
1	34	1207	183115
1	18	1207	191254
1	18	1208	092600
1	38	1208	120510
1	74	1208	122358
1	18	1208	145931
1	30	1208	152537
1	44	1208	152750
1	74	1208	152753
1	38	1208	182114
1	18	1208	184123
1	18	1209	092456
1	74	1209	125815
1	74	1209	140249
1	18	1209	153721
1	74	1210	082226
1	18	1210	082314
1	85	1210	085248
1	38	1210	095951
1	38	1210	155614
1	40	1211	082543
1	38	1211	125340
1	38	1211	214344
1	38	1211	224302
1	38	1212	132322
1	74	1212	140010
1	74	1213	082616
1	38	1213	123708
1	18	1213	160046
1	18	1213	183540
1	85	1214	091320
1	38	1214	184352
1	18	1215	083618
1	74	1215	083856
1	88	1215	114238
1	18	1215	162358
1	30	1215	163754
1	18	1216	095431
1	85	1216	143256
1	30	1216	155640
1	38	1217	102421
1	38	1217	125341
1	74	1217	130016
1	74	1218	090450
1	44	1218	123652
1	38	1219	082111
1	40	1219	082359
1	38	1219	125458
1	38	1219	162200
1	74	1221	120233
1	38	1221	143920
1	74	1221	213604
1	18	1222	084840
1	38	1222	143540
1	18	1222	153215
1	74	1222	161710
1	30	1222	170058
1	18	1222	181033
1	30	1223	143455
1	30	1223	194214
1	74	1224	185645
1	38	1227	082104
1	74	1227	085535
1	74	1227	090836
1	74	1227	090903
1	38	1227	130523
1	18	1227	153234
1	30	1227	171658
1	85	1228	085237
1	18	1228	101958
1	74	1228	102811
1	34	1228	161822
1	40	1228	162208
1	38	1228	183959
1	18	1228	194632
1	40	1229	084134
1	74	1229	134022
1	18	1229	144314
1	34	1230	072214
1	40	1230	113922
1	18	1230	122608
1	30	1230	144849
1	18	1230	180208
1	34	1230	180929
1	18	0102	082421
1	30	0102	105646
1	18	0102	120527
1	18	0102	175731
1	18	0103	084450
1	18	0103	152205
1	74	0103	153845
1	18	0103	174123
1	30	0103	181708
1	74	0104	080537
1	34	0104	083107
1	74	0104	084623
1	18	0104	095217
1	18	0104	162039
1	18	0104	182022
1	74	0104	183702
1	74	0105	073716
1	40	0105	074439
1	18	0105	074616
1	18	0105	125904
1	40	0105	152111
1	34	0105	154830
1	18	0105	173344
1	34	0105	173645
1	74	0105	194727
1	40	0106	075640
1	34	0106	081125
1	18	0106	083220
1	74	0106	084357
1	85	0106	125949
1	74	0106	130026
1	18	0106	150023
1	40	0106	151346
1	34	0106	152137
1	30	0106	163734
1	74	0106	172019
1	34	0106	180413
1	74	0106	185053
1	40	0106	212124
1	18	0106	213345
1	74	0107	075804
1	38	0107	115749
1	74	0107	124802
1	30	0107	164621
1	18	0107	172536
1	74	0107	185410
1	34	0108	072345
1	18	0108	074453
1	74	0108	075129
1	40	0108	092841
1	18	0108	112509
1	74	0108	115108
1	34	0108	122045
1	34	0108	175636
1	18	0108	180623
1	74	0108	185706
1	18	0109	081546
1	18	0109	172045
1	40	0109	185248
1	18	0110	084208
1	18	0110	152047
1	18	0110	174541
1	74	0110	182538
1	40	0110	185123
1	40	0110	194322
1	18	0111	073410
1	40	0111	080027
1	85	0111	093359
1	18	0111	120342
1	34	0111	125405
1	85	0111	132016
1	40	0111	155227
1	18	0111	180303
1	34	0111	182207
1	18	0112	075331
1	74	0112	124443
1	34	0112	152954
1	18	0112	185913
1	74	0112	192457
1	18	0113	080921
1	74	0113	125045
1	85	0113	125821
1	40	0113	132756
1	34	0113	135026
1	18	0113	150527
1	18	0113	174733
1	34	0113	200554
1	18	0114	120553
1	34	0114	122320
1	85	0114	130731
1	74	0114	134257
1	85	0114	174717
1	18	0115	074255
1	74	0115	083508
1	34	0115	084300
1	34	0115	135159
1	18	0115	135355
1	74	0115	142610
1	40	0115	143314
1	85	0115	145018
1	40	0115	153929
1	18	0115	174512
1	34	0115	180231
1	40	0115	190347
1	74	0115	190749
1	18	0116	080423
1	74	0116	081113
1	18	0116	115305
1	38	0116	154358
1	85	0116	155703
1	18	0116	160315
1	18	0116	175801
1	74	0116	181756
1	40	0116	190520
1	18	0117	082152
1	74	0117	101139
1	18	0117	161024
1	18	0117	204530
1	18	0118	091959
1	18	0118	161610
1	38	0119	114135
1	47	1014	113752
1	39	1014	121642
1	56	1014	121758
1	20	1014	122010
1	10	1014	122011
1	79	1014	140703
1	7	1014	143730
1	86	1014	143732
1	55	1014	155009
1	23	1014	161326
1	23	1014	161348
1	3	1014	163100
1	36	1014	163203
1	16	1014	163213
1	49	1014	164922
1	84	1014	164923
1	78	1014	181935
1	87	1014	185905
1	3	1014	203555
1	13	1015	081616
1	43	1015	081851
1	41	1015	081853
1	71	1015	081853
1	9	1015	082006
1	46	1015	082012
1	59	1015	082227
1	79	1015	082305
1	15	1015	082330
1	48	1015	082331
1	37	1015	082415
1	91	1015	082416
1	4	1015	082533
1	65	1015	083618
1	3	1015	084430
1	51	1015	085100
1	87	1015	085101
1	53	1015	085622
1	81	1015	085935
1	39	1015	091619
1	13	1015	102951
1	55	1015	115001
1	89	1015	124154
1	39	1015	145353
1	10	1016	082227
1	43	1016	082545
1	1	1016	084729
1	81	1016	085211
1	87	1016	085213
1	55	1016	085542
1	56	1016	124848
1	51	1016	125039
1	6	1016	125913
1	59	1016	170725
1	53	1016	170947
1	22	1016	194657
1	43	1016	195210
1	41	1016	195210
1	13	1016	195458
1	51	1016	195502
1	20	1017	123835
1	55	1017	125356
1	37	1017	130821
1	51	1017	135857
1	12	1017	150605
1	49	1017	153018
1	84	1017	153020
1	87	1017	160947
1	57	1017	161932
1	5	1017	161934
1	76	1017	161936
1	84	1017	162642
1	49	1017	162642
1	81	1017	163211
1	15	1017	163313
1	3	1017	164320
1	31	1017	171701
1	20	1017	172527
1	71	1017	174103
1	71	1017	174257
1	13	1017	175433
1	66	1017	183208
1	59	1017	204515
1	31	1017	210210
1	31	1018	083201
1	87	1018	160929
1	81	1018	160931
1	45	1018	161023
1	23	1018	161026
1	58	1018	161347
1	86	1018	161349
1	41	1018	162235
1	43	1018	162235
1	53	1018	181817
1	87	1018	191504
1	81	1018	191505
1	17	1018	194912
1	10	1019	081903
1	3	1019	084920
1	5	1019	084949
1	61	1019	084951
1	57	1019	084953
1	20	1019	092833
1	66	1019	102632
1	26	1019	103533
1	61	1019	103641
1	15	1019	161918
1	91	1019	161924
1	10	1019	161939
1	11	1019	161939
1	63	1019	162022
1	37	1019	182301
1	27	1019	190928
1	52	1019	190930
1	8	1019	190932
1	79	1019	191255
1	48	1019	191257
1	51	1019	191509
1	13	1019	191510
1	78	1019	193632
1	3	1019	193920
1	6	1019	194320
1	66	1019	194848
1	87	1019	195019
1	81	1019	195335
1	20	1020	093924
1	89	1020	094057
1	4	1020	103401
1	84	1020	103402
1	10	1020	120335
1	63	1020	125550
1	22	1020	125607
1	13	1020	130756
1	89	1020	141750
1	64	1020	162729
1	64	1020	162745
1	64	1020	163310
1	49	1020	164710
1	20	1020	164819
1	53	1020	165816
1	66	1020	183022
1	41	1020	184507
1	43	1020	184508
1	3	1020	200643
1	82	1020	212148
1	9	1021	074804
1	65	1021	074805
1	10	1021	083425
1	20	1021	095229
1	66	1021	105801
1	47	1021	114903
1	37	1021	120635
1	15	1021	120638
1	89	1021	124331
1	91	1021	125913
1	6	1021	132433
1	78	1021	133210
1	62	1021	142014
1	86	1021	143709
1	66	1021	144617
1	84	1021	145801
1	49	1021	160040
1	55	1021	160258
1	84	1021	162449
1	50	1021	164119
1	75	1021	164123
1	20	1021	174904
1	7	1021	181636
1	58	1021	181638
1	86	1021	181640
1	1	1021	183424
1	59	1021	193631
1	87	1022	101921
1	43	1022	102204
1	1	1022	102431
1	37	1022	102432
1	16	1022	102619
1	1	1022	103034
1	37	1022	103035
1	20	1022	103736
1	55	1022	104113
1	53	1022	124303
1	87	1022	180739
1	33	1023	081950
1	31	1023	082129
1	10	1023	082131
1	43	1023	082256
1	1	1023	082513
1	63	1023	082540
1	9	1023	082708
1	87	1023	082914
1	81	1023	082915
1	79	1023	082920
1	48	1023	082922
1	41	1023	083639
1	49	1023	090843
1	84	1023	090844
1	82	1023	125121
1	42	1023	125540
1	82	1023	130453
1	42	1023	130456
1	53	1023	165500
1	71	1023	174041
1	51	1023	180831
1	13	1023	180832
1	56	1024	082125
1	9	1024	082552
1	65	1024	082553
1	11	1024	083418
1	43	1024	083755
1	41	1024	083857
1	87	1024	083859
1	63	1024	084011
1	58	1024	084301
1	86	1024	084302
1	7	1024	084303
1	7	1024	084518
1	58	1024	084521
1	50	1024	090451
1	81	1024	091511
1	55	1024	130059
1	63	1024	130305
1	71	1024	141809
1	51	1024	143128
1	50	1024	151804
1	49	1024	151852
1	84	1024	151854
1	68	1024	151911
1	79	1024	153148
1	22	1024	153752
1	87	1024	154131
1	81	1024	160132
1	13	1024	161215
1	56	1024	162055
1	5	1024	162312
1	61	1024	162314
1	11	1024	162321
1	20	1024	163445
1	27	1024	173249
1	8	1024	173251
1	87	1024	180817
1	13	1024	184932
1	51	1024	184933
1	41	1024	191657
1	43	1024	192058
1	68	1024	193822
1	81	1024	193851
1	27	1024	201531
1	8	1024	201533
1	59	1024	201626
1	53	1025	160432
1	55	1025	162237
1	11	1025	162300
1	31	1025	162315
1	66	1025	170111
1	87	1025	172234
1	66	1025	174729
1	61	1025	190158
1	5	1025	190201
1	90	1025	190439
1	32	1025	193052
1	16	1025	193052
1	10	1025	202208
1	20	1025	202233
1	56	1026	084725
1	16	1026	084733
1	64	1026	085409
1	5	1026	094051
1	69	1026	094054
1	36	1026	094932
1	78	1026	102138
1	66	1026	102140
1	2	1026	103117
1	57	1026	110114
1	57	1026	111029
1	57	1026	133715
1	56	1026	161918
1	63	1026	161927
1	22	1026	161928
1	79	1026	162249
1	11	1026	162403
1	81	1026	162443
1	50	1026	163402
1	87	1026	164830
1	58	1026	165623
1	86	1026	165624
1	57	1026	165717
1	55	1026	171530
1	10	1026	184809
1	59	1026	191805
1	78	1026	195716
1	1	1026	195717
1	50	1026	202547
1	10	1027	084656
1	81	1027	091250
1	86	1027	091432
1	87	1027	100228
1	49	1027	103544
1	84	1027	103545
1	50	1027	104306
1	54	1027	111624
1	62	1027	112155
1	39	1027	113804
1	89	1027	121547
1	75	1027	122245
1	10	1027	123511
1	86	1027	124046
1	52	1027	124205
1	67	1027	133516
1	55	1027	133855
1	7	1027	141633
1	51	1027	142258
1	86	1027	153152
1	17	1027	155841
1	55	1027	175303
1	84	1027	180845
1	13	1027	182029
1	51	1027	182030
1	55	1027	190614
1	81	1027	192246
1	87	1027	203000
1	22	1027	204433
1	63	1027	205726
1	51	1028	082142
1	56	1028	094405
1	84	1028	095454
1	81	1028	100641
1	87	1028	100643
1	86	1028	102401
1	20	1028	111808
1	46	1028	122849
1	49	1028	125430
1	15	1028	125759
1	91	1028	125800
1	37	1028	125802
1	5	1028	131426
1	10	1028	141115
1	20	1028	141154
1	53	1028	145827
1	87	1028	160658
1	22	1028	182253
1	51	1029	082215
1	11	1029	082218
1	63	1029	082219
1	87	1029	082242
1	81	1029	082248
1	91	1029	082335
1	9	1029	082337
1	46	1029	082340
1	7	1029	082351
1	13	1029	084047
1	59	1029	085610
1	64	1029	085950
1	76	1029	090500
1	5	1029	090503
1	90	1029	090638
1	24	1029	090816
1	61	1029	103639
1	20	1029	111652
1	19	1029	115525
1	55	1029	125040
1	51	1029	131827
1	50	1029	144518
1	11	1029	144724
1	81	1029	145733
1	87	1029	152720
1	87	1029	180908
1	51	1030	082155
1	13	1030	082156
1	81	1030	082346
1	1	1030	082349
1	87	1030	082406
1	11	1030	082421
1	50	1030	085300
1	55	1030	093206
1	51	1030	123513
1	6	1030	125326
1	56	1030	125410
1	5	1030	163123
1	76	1030	163125
1	59	1030	171413
1	72	1030	180730
1	5	1030	181934
1	76	1030	181934
1	10	1030	191820
1	47	1031	123344
1	61	1031	125158
1	48	1031	125202
1	67	1031	125202
1	26	1031	125204
1	25	1031	125210
1	66	1031	133741
1	55	1031	134006
1	1	1031	143127
1	87	1031	153142
1	11	1031	162112
1	89	1031	165914
1	65	1031	181105
1	79	1031	193233
1	48	1031	193233
1	68	1031	193347
1	89	1031	212737
1	61	1101	130059
1	26	1101	130103
1	67	1101	130104
1	25	1101	130109
1	48	1101	132116
1	33	1101	161805
1	87	1101	162004
1	81	1101	162005
1	46	1101	162711
1	70	1101	163034
1	20	1101	163113
1	11	1101	163115
1	87	1101	164457
1	11	1102	082253
1	56	1102	082317
1	61	1102	085502
1	5	1102	085504
1	90	1102	085535
1	17	1102	095620
1	57	1102	100716
1	13	1102	102317
1	51	1102	102317
1	46	1102	102343
1	42	1102	102344
1	9	1102	102345
1	66	1102	102655
1	78	1102	102913
1	87	1102	110646
1	4	1102	113912
1	55	1102	120629
1	22	1102	162310
1	63	1102	162311
1	87	1102	164523
